ncalls,tottime,percall,cumtime,percall_cum,filename:lineno(function)
6,6,1.0,1.93e-05,3.216666666666667e-06,cursors.py:57(__init__)
23,145,6.304347826086956,0.00011750000000000001,5.1086956521739134e-06,<frozen importlib._bootstrap_external>:1384(_recalculate)
3,3,1.0,6.5000000000000004e-06,2.166666666666667e-06,dataclasses.py:437(add_fn)
1,1,1.0,1.7e-06,1.7e-06,<frozen importlib._bootstrap>:1103(_resolve_filename)
3,3,1.0,4.6e-06,1.5333333333333334e-06,inspect.py:2841(__str__)
85,283,3.3294117647058825,0.0005391,6.342352941176471e-06,<frozen importlib._bootstrap>:1390(_handle_fromlist)
248,248,1.0,0.0005332000000000001,2.15e-06,<frozen importlib._bootstrap_external>:697(_classify_pyc)
35,35,1.0,0.00017470000000000002,4.991428571428572e-06,<frozen zipimport>:68(__init__)
268,268,1.0,0.00025550000000000003,9.53358208955224e-07,_compiler.py:214(_compile_charset)
1,1,1.0,2.72e-05,2.72e-05,_scalars.py:1(<module>)
1,1,1.0,4.0000000000000003e-07,4.0000000000000003e-07,<frozen abc>:146(update_abstractmethods)
3141,3141,1.0,0.015488700000000001,4.9311365807067815e-06,<frozen importlib._bootstrap_external>:101(_path_join)
290,290,1.0,0.0009597000000000001,3.3093103448275864e-06,<frozen importlib._bootstrap_external>:833(spec_from_file_location)
693,693,1.0,0.0012824000000000002,1.8505050505050508e-06,<frozen importlib._bootstrap>:372(release)
693,693,1.0,0.0026319,3.797835497835498e-06,<frozen importlib._bootstrap>:304(acquire)
693,693,1.0,0.0015372,2.2181818181818183e-06,<frozen importlib._bootstrap>:426(_get_module_lock)
16,16,1.0,4.7000000000000004e-05,2.9375000000000003e-06,<frozen importlib._bootstrap>:662(spec_from_loader)
313,313,1.0,0.0011325,3.6182108626198085e-06,<frozen importlib._bootstrap>:733(_init_module_attrs)
14,313,22.357142857142858,0.0009955,7.110714285714286e-05,<frozen importlib._bootstrap>:911(_load_unlocked)
323,323,1.0,0.0023429,7.253560371517029e-06,<frozen importlib._bootstrap>:1240(_find_spec)
8,324,40.5,0.0012360000000000001,0.00015450000000000001,<frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
8,325,40.625,0.0020008,0.0002501,<frozen importlib._bootstrap>:1349(_find_and_load)
496,496,1.0,0.0014413000000000002,2.9058467741935486e-06,<frozen importlib._bootstrap_external>:513(cache_from_source)
307,308,1.003257328990228,0.0011297,3.6798045602605862e-06,<frozen importlib._bootstrap_external>:1522(_get_spec)
635,635,1.0,0.005190200000000001,8.173543307086614e-06,<frozen importlib._bootstrap_external>:1624(find_spec)
248,248,1.0,0.0024005000000000003,9.67943548387097e-06,<frozen importlib._bootstrap_external>:1093(get_code)
34,34,1.0,0.0006641,1.9532352941176473e-05,<frozen importlib._bootstrap_external>:1675(_fill_cache)
342,342,1.0,0.0011909000000000002,3.482163742690059e-06,<frozen importlib._bootstrap_external>:1214(get_data)
39,39,1.0,7.04e-05,1.8051282051282052e-06,<frozen ntpath>:50(normcase)
18,18,1.0,1.5e-05,8.333333333333333e-07,enum.py:965(_find_data_repr_)
62,85,1.3709677419354838,0.0001161,1.8725806451612904e-06,_compiler.py:439(_get_literal_prefix)
682,682,1.0,0.0001566,2.2961876832844575e-07,enum.py:199(__get__)
3,3,1.0,1.62e-05,5.4e-06,dataclasses.py:768(_get_field)
1,1,1.0,2.1400000000000002e-05,2.1400000000000002e-05,enum.py:842(_create_)
1,3,3.0,3.32e-05,3.32e-05,inspect.py:2487(_signature_from_callable)
2537,2537,1.0,0.0024964,9.839968466692945e-07,<frozen ntpath>:99(join)
1,1,1.0,3.1000000000000004e-06,3.1000000000000004e-06,<frozen ntpath>:573(abspath)
3,3,1.0,2.71e-05,9.033333333333334e-06,<frozen ntpath>:649(_getfinalpathname_nonstrict)
18,18,1.0,0.00013690000000000002,7.6055555555555565e-06,<frozen ntpath>:705(realpath)
6,6,1.0,6.8e-06,1.1333333333333334e-06,inspect.py:764(unwrap)
1,1,1.0,1.5e-06,1.5e-06,inspect.py:2145(_signature_is_functionlike)
2,2,1.0,3.1000000000000004e-06,1.5500000000000002e-06,inspect.py:1818(getattr_static)
1,1,1.0,2.0700000000000002e-05,2.0700000000000002e-05,inspect.py:2383(_signature_from_function)
29,29,1.0,0.00016920000000000002,5.834482758620691e-06,typing.py:1207(_generic_class_getitem)
3,3,1.0,9.4e-06,3.133333333333333e-06,typing.py:1047(_evaluate)
6,6,1.0,2.61e-05,4.35e-06,typing.py:1634(__getitem__)
4,4,1.0,4.72e-05,1.18e-05,typing.py:2403(get_type_hints)
8,8,1.0,9e-06,1.125e-06,typing.py:2503(_strip_annotations)
1,1,1.0,0.0055906,0.0055906,__main__.py:424(find_next_signals)
3692,3692,1.0,0.0029124000000000003,7.888407367280607e-07,__main__.py:501(path_find)
70,418,5.9714285714285715,0.0065076000000000005,9.296571428571429e-05,_parser.py:511(_parse)
3,3,1.0,1.4200000000000001e-05,4.7333333333333335e-06,<frozen ntpath>:607(_readlink_deep)
1,1,1.0,8.5e-06,8.5e-06,inspect.py:3318(format)
18,18,1.0,6.500000000000001e-05,3.6111111111111115e-06,enum.py:1014(_find_new_)
349,349,1.0,0.0006629,1.8994269340974213e-06,__init__.py:330(_compile)
66,66,1.0,0.0002686,4.06969696969697e-06,_compiler.py:514(_compile_info)
386,386,1.0,0.0006335000000000001,1.6411917098445598e-06,enum.py:1059(_add_member_)
2,2,1.0,1.02e-05,5.1e-06,inspect.py:176(get_annotations)
1,1,1.0,1.34e-05,1.34e-05,linecache.py:102(updatecache)
2,2,1.0,9.5e-06,4.75e-06,inspect.py:3042(__init__)
37,37,1.0,0.00010870000000000001,2.9378378378378384e-06,enum.py:987(_find_data_type_)
1,1,1.0,5.7100000000000006e-05,5.7100000000000006e-05,dataclasses.py:929(_process_class)
1,1,1.0,3.04e-05,3.04e-05,__config__.py:1(<module>)
32,32,1.0,0.0020729999999999998,6.478124999999999e-05,__init__.py:1(<module>)
1,1,1.0,8.740000000000001e-05,8.740000000000001e-05,multiarray.py:1(<module>)
1,1,1.0,3.38e-05,3.38e-05,signal.py:1(<module>)
1,1,1.0,5.0600000000000003e-05,5.0600000000000003e-05,colordict.py:1(<module>)
1,1,1.0,0.7783471000000001,0.7783471000000001,__main__.py:583(run)
642,642,1.0,0.0035550000000000004,5.537383177570094e-06,train.py:145(move)
19,19,1.0,0.0263567,0.0013871947368421054,train.py:244(move_headcode)
340,340,1.0,0.3611296,0.0010621458823529412,display.py:131(update_and_draw)
1,1,1.0,0.0026519,0.0026519,__main__.py:257(create_signals_from_file)
1,1,1.0,0.0001168,0.0001168,_dtype_like.py:1(<module>)
2,2,1.0,1.32e-05,6.6e-06,threading.py:327(wait)
12,12,1.0,0.0004913000000000001,4.0941666666666675e-05,enum.py:898(_convert_)
378,378,1.0,0.001958,5.17989417989418e-06,enum.py:251(__set_name__)
79,79,1.0,6.41e-05,8.113924050632911e-07,enum.py:1156(__new__)
37,37,1.0,0.0005909,1.597027027027027e-05,enum.py:498(__new__)
66,66,1.0,0.0002567,3.8893939393939395e-06,_compiler.py:743(compile)
10,10,1.0,4.8700000000000005e-05,4.870000000000001e-06,functools.py:878(register)
19,19,1.0,0.0021358,0.00011241052631578948,enum.py:1753(convert_class)
53,53,1.0,6.230000000000001e-05,1.1754716981132077e-06,_compiler.py:470(_get_charset_prefix)
30,30,1.0,0.0012939000000000002,4.313000000000001e-05,__init__.py:358(namedtuple)
122,122,1.0,0.00014230000000000002,1.166393442622951e-06,_parser.py:311(_class_escape)
66,278,4.212121212121212,0.0008315000000000001,1.259848484848485e-05,_parser.py:451(_parse_sub)
66,693,10.5,0.0026174,3.965757575757576e-05,_compiler.py:37(_compile)
197,812,4.121827411167513,0.0008424000000000001,4.276142131979696e-06,_parser.py:177(getwidth)
3,3,1.0,3e-06,1e-06,dataclasses.py:531(_field_init)
268,268,1.0,0.0018929,7.063059701492537e-06,_compiler.py:241(_optimize_charset)
125,125,1.0,0.00012150000000000001,9.720000000000002e-07,_parser.py:371(_escape)
2,2,1.0,2.0600000000000003e-05,1.0300000000000001e-05,copyreg.py:107(_slotnames)
2,2,1.0,4.3e-06,2.15e-06,_parser.py:894(_parse_flags)
1,1,1.0,1.08e-05,1.08e-05,dataclasses.py:470(add_fns_to_class)
9,9,1.0,1.86e-05,2.0666666666666666e-06,dataclasses.py:709(_is_type)
11,11,1.0,0.0156676,0.0014243272727272728,signals.py:51(get_coords_to_next_signal)
468,468,1.0,0.0011991,2.562179487179487e-06,enum.py:354(__setitem__)
3,3,1.0,2.6200000000000003e-05,8.733333333333335e-06,enum.py:1459(_missing_)
4,4,1.0,4.800000000000001e-06,1.2000000000000002e-06,inspect.py:1436(formatannotation)
5,5,1.0,1.15e-05,2.3e-06,typing.py:1599(__mro_entries__)
11913,11913,1.0,0.0016292000000000001,1.3675816335096114e-07,_parser.py:239(__next)
17,58,3.411764705882353,0.0001449,8.523529411764706e-06,typing.py:1483(_determine_new_args)
340,340,1.0,0.0005223000000000001,1.5361764705882356e-06,__main__.py:241(check_backlog_train)
6,6,1.0,5.2900000000000005e-05,8.816666666666668e-06,functools.py:826(singledispatch)
66,66,1.0,3.7800000000000004e-05,5.727272727272728e-07,_parser.py:954(fix_flags)
1,1,1.0,2.6e-06,2.6e-06,weakref.py:289(update)
419,419,1.0,8.680000000000001e-05,2.0715990453460623e-07,typing.py:1096(__eq__)
15,15,1.0,5.7e-05,3.8e-06,typing.py:2054(__new__)
67,67,1.0,0.014187900000000002,0.00021175970149253735,__main__.py:390(change_switch)
1,1,1.0,3.4e-06,3.4e-06,tokenize.py:388(find_cookie)
1,1,1.0,1.0700000000000001e-05,1.0700000000000001e-05,dataclasses.py:610(_init_fn)
66,66,1.0,0.0002265,3.431818181818182e-06,_parser.py:970(parse)
264,264,1.0,0.0019105,7.2367424242424245e-06,typing.py:260(_collect_type_parameters)
2,2,1.0,8.7e-06,4.35e-06,charset.py:206(__init__)
24,24,1.0,1.5300000000000003e-05,6.375000000000001e-07,typing.py:310(_check_generic_specialization)
1,1,1.0,8.3e-06,8.3e-06,threading.py:1352(__init__)
1,1,1.0,6e-06,6e-06,_expired_attrs_2_0.py:1(<module>)
15,15,1.0,7.7e-05,5.133333333333333e-06,typing.py:2199(__init_subclass__)
3,3,1.0,1.5300000000000003e-05,5.100000000000001e-06,threading.py:281(__init__)
265,265,1.0,0.0006886,2.598490566037736e-06,overrides.py:142(decorator)
2,2,1.0,3.7800000000000004e-05,1.8900000000000002e-05,train.py:8(__init__)
3,3,1.0,1.29e-05,4.3e-06,getlimits.py:697(__init__)
1,1,1.0,0.0013025,0.0013025,__main__.py:1(<module>)
1,1,1.0,1.22e-05,1.22e-05,tokenize.py:358(detect_encoding)
1,1,1.0,4.5900000000000004e-05,4.5900000000000004e-05,sprite.py:1(<module>)
1,1,1.0,7.5e-06,7.5e-06,__init__.py:265(_reset_cache)
1,1,1.0,9.2e-06,9.2e-06,numbers.py:57(Complex)
1,1,1.0,1.5700000000000002e-05,1.5700000000000002e-05,_ufunc_config.py:1(<module>)
311,311,1.0,0.0004357,1.4009646302250804e-06,function_base.py:487(add_newdoc)
1,1,1.0,1.56e-05,1.56e-05,pkgdata.py:45(getResource)
1,1,1.0,1.23e-05,1.23e-05,pickle.py:404(_Pickler)
2,2,1.0,7.3e-06,3.65e-06,_ufunc_config.py:440(__enter__)
1,1,1.0,1.7100000000000002e-05,1.7100000000000002e-05,ipaddress.py:1(<module>)
1,1,1.0,6.560000000000001e-05,6.560000000000001e-05,ssl.py:1(<module>)
4,4,1.0,6.4000000000000006e-06,1.6000000000000001e-06,inspect.py:2754(__init__)
1,1,1.0,3.9e-06,3.9e-06,__init__.py:339(__getattr__)
1,1,1.0,7.5e-06,7.5e-06,warnings.py:35(_formatwarnmsg_impl)
1,1,1.0,4.3100000000000004e-05,4.3100000000000004e-05,subprocess.py:1(<module>)
22,22,1.0,7.850000000000001e-05,3.5681818181818185e-06,typing.py:1256(_generic_init_subclass)
17,58,3.411764705882353,0.00022610000000000002,1.3300000000000001e-05,typing.py:1512(_make_substitution)
10,10,1.0,0.011544700000000001,0.00115447,train.py:213(move_train)
16,16,1.0,0.0006799,4.249375e-05,typing.py:2998(__new__)
340,340,1.0,18.501811,0.05441709117647059,display.py:76(render_text_surface)
1,1,1.0,6.42e-05,6.42e-05,display.py:4(__init__)
1,1,1.0,0.0002475,0.0002475,signals.py:174(cancel_route)
5,5,1.0,1.9200000000000003e-05,3.8400000000000005e-06,typing.py:2329(runtime_checkable)
14,14,1.0,0.0006472,4.622857142857143e-05,signals.py:188(go_back_to_last_switch)
1,1,1.0,2.4e-05,2.4e-05,records.py:1(<module>)
1,1,1.0,0.000144,0.000144,__main__.py:640(main)
